,star_name,distance,mass,radius,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
0,SDSS J000013.54+255418.6 [de],46.1,48,0.99,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
1,2MASS J08283419-1309198,,,,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
2,2MASS J00040288-6410358,192,19,1.63,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
3,LHS 102BC,,,,14 Herculis b,58,4.66 Jupiters,6.61935,2002
4,2MASS J00242463-0158201,37.7,79,1.09,16 Cygni B b,69,1.78 Jupiters,6.215,1996
5,2MASS J00250365+4759191AB,143,,,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
6,2MASS J00274197+0503417,236,31,1.44,18 Delphini b,249,10.3 Jupiters,5.51048,2008
7,2MASS J00275592+2219328,46.9,,,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
8,2MASSW J0030300-145033,87.2,54,0.98,24 Bootis b,313,0.91 Jupiters,5.59,2018
9,2MASS J00332386-1521309 [de],131,29,1.43,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
10,2MASS J00345157+0523050,31,42,0.94,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
11,2MASS 0036+1821,28.6,42,0.94,2M0437 b,419,4 Jupiters,16.186,2021
12,2MASSW J0045214+163445,57,23,1.62,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
13,WISEP J004701.06+680352.1 [fr],40,12,1.3,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
14,2MASS J00501994-3322402 [de],34,40,0.94,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
15,2MASS J00034227-2822410,,,,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
16,2MASS J00584253-0651239 [de],96,29,1.43,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
17,CFBDS J005910.90–011401.3,30,23,,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
18,2MASSI J0103320+193536,70,52,0.98,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
19,SDSSp J010752.33+004156.1 [de],51,52,0.98,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
20,2MASSI J0117474-340325 [de],163,20,1.62,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
21,2MASS J01415823-4633574 [de],130,20,1.61,42 Draconis b,296,3.88 Jupiters,4.8262,2008
22,SDSS J015141.69+124429.6,70,47,0.97,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
23,DENIS-P J020529.0−115925A,65,,,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
24,DENIS-P J020529.0−115925B,65,,,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
25,DENIS-P J020529.0−115925C,65,,,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
26,SDSS J020742.48+000056.2 [de],111,47,0.97,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
27,2MASS J02103857-3015313,101,15,1.53,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
28,2MASS J02340093-6442068,155,20,1.62,14 Herculis b,58,4.66 Jupiters,6.61935,2002
29,2MASS J02411151-0326587 [de],152,27,1.41,16 Cygni B b,69,1.78 Jupiters,6.215,1996
30,2MASS J02431371−2453298,35,33,0.99,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
31,LP 771-21,53,78,1.08,18 Delphini b,249,10.3 Jupiters,5.51048,2008
32,2MASS J02511327+0047364,,,,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
33,Teegarden's star,12.578,80,1.27,24 Bootis b,313,0.91 Jupiters,5.59,2018
34,2MASS J02535980+3206373,184,65,1.9,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
35,WISE J0254+0223,24,65,1.9,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
36,DEN 0255-4700,16.2,80,0.97,2M0437 b,419,4 Jupiters,16.186,2021
37,2MASS J03185403-3421292 [de],45,49,0.97,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
38,2MASS J03205965+1854233,47,88,1.15,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
39,2MASS J03231002-4631237,192,23,1.66,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
40,SDSS J032553.17+042540.1,59,45,0.95,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
41,2MASS J03264225-2102057 [de],80,18,1.3,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
42,2MASS J03284265+2302051 [de],98,54,0.98,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
43,2MASS J03341218-4953322,27.0,73,1.04,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
44,LP 944-20,20.9,73,1.43,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
45,2MASP J0345432+254023,88,74,1.05,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
46,Teide 1,380,55,3.78,42 Draconis b,296,3.88 Jupiters,4.8262,2008
47,2MASS J03510004-0052452,48,102,1.27,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
48,2MASS J03552337+1133437,29.8,20,1.32,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
49,DENIS-P J035726.9-441730 [de],130,,,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
50,2MASS J04151954−0935066,18.6,30,0.95,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
51,SDSSp J042348.57-041403.5 [de],50,,,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
52,2MASS J04285096-2253227 [de],85,80,1.09,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
53,2MASS J04351612-1606574,34,100,1.26,14 Herculis b,58,4.66 Jupiters,6.61935,2002
54,2MASS J04362788-4114465,142,39,1.97,16 Cygni B b,69,1.78 Jupiters,6.215,1996
55,2MASS J04390101-2353083 [de],29.5,48,0.97,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
56,2MASS J04414489+2301513,470,19,,18 Delphini b,249,10.3 Jupiters,5.51048,2008
57,2MASS J04433764+0002040,82,22,1.78,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
58,2MASS J04455387-3048204 [de],42,64,1.00,24 Bootis b,313,0.91 Jupiters,5.59,2018
59,2MASS J04510093-3402150 [de],69,72,1.04,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
60,2MASS J05002100+0330501 [de],44,64,1.00,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
61,2MASS J05012406-0010452 [de],64,21,1.38,2M0437 b,419,4 Jupiters,16.186,2021
62,2MASS J05160945-0445499 [de],73,47,0.97,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
63,2MASS J0523−1403,40,68,1.01,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
64,2MASS 0532+8246,81,83,,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
65,SDSS J053951.99-005902.0,41.62,61,1.01,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
66,2MASS J05591914-1404488 [de],34,,,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
67,LSR 0602+3910 [de],34.6,28,1.41,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
68,2MASS J06085283-2753583,102,38,1.51,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
69,WISEP J061135.13-041024.0A,69,65,,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
70,WISEP J061135.13-041024.0B,69,53,,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
71,2MASS J06244595-4521548 [de],39,56,0.99,42 Draconis b,296,3.88 Jupiters,4.8262,2008
72,2MASS J06411840-4322329 [de],65,67,1.01,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
73,DENIS-P J0652197-253450 [de],51,75,1.05,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
74,2MASS J07003664+3157266 [de],40,,,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
75,2MASS J07075327-4900503,60,72,1.03,11 Comae Berenices b,304,19.4 Jupiters,4.72307,2007
76,UGPS J072227.51-054031.2,13.4,26,0.98,11 Ursae Minoris b,409,14.74 Jupiters,5.013,2009
77,2MASSI J0727182+171001 [de],29.6,41,0.94,14 Andromedae b,246,4.8 Jupiters,5.23133,2008
78,2MASS J07290002-3954043 [de],25.8,37,0.94,14 Herculis b,58,4.66 Jupiters,6.61935,2002
79,SDSS J074201.41+205520.5 [de],49,43,0.94,16 Cygni B b,69,1.78 Jupiters,6.215,1996
80,2MASS J0746425+200032 [fr],49.6,,,17 Scorpii b,408,4.32 Jupiters,5.22606,2020
81,DENIS-P J0751164-253043 [de],55,71,1.03,18 Delphini b,249,10.3 Jupiters,5.51048,2008
82,2MASS J07522390+1612157,60,68,2.01,1RXS J160929.1-210524 b,454,8 Jupiters,12.618,2008
83,DENIS J081730.0-615520,16.1,44,0.94,24 Bootis b,313,0.91 Jupiters,5.59,2018
84,DENIS J082303.1−491201A,67,44,,24 Sextantis b,235,1.99 Jupiters,6.4535,2010
85,DENIS J082303.1−491201B,67,28,,24 Sextantis c,235,0.86 Jupiters,6.4535,2010
86,2MASS J08251968+2115521 [de],35,52,0.98,2M0437 b,419,4 Jupiters,16.186,2021
87,SDSSp J083008.12+482847.4 [de],43,48,0.99,2MASS J01033563-5515561 AB b,154,13 Jupiters,15.788,2013
88,LHS 2021,55,88,1.15,2MASS J01225093-2439505 b,110,24.5 Jupiters,14.244,2013
89,SDSS J083048.80+012831.1 [de],77,46,0.96,2MASS J02192210-3925225 b,131,13.9 Jupiters,15.0123,2015
90,2MASSI J0835425-081923 [de],23.53,62,1.00,2MASS J04414489+2301513 b,393,7.5 Jupiters,18.9668,2010
91,2MASSI J0847287-153237 [de],43,64,1.00,2MASS J12073346-3932539 b,210,5 Jupiters,20.15,2004
92,2MASS J08533619-0329321,27.6,77,1.07,2MASS J19383260+4603591 b,1293,1.9 Jupiters,12.651,2015
93,2MASSI J0859254-194926 [de],50,50,0.98,2MASS J21402931+1625183 A b,108,20.95 Jupiters,17.3961,2009
94,2MASSW J0920122+351742 [de],95,,,2MASS J22362452+4751425 b,227,12.5 Jupiters,12.368,2016
95,2MASSI J0937347+293142,20.0,42,0.94,30 Arietis B b,146,13.82 Jupiters,7.09209,2009
96,2MASS 0939−2448,17.4,32,0.95,42 Draconis b,296,3.88 Jupiters,4.8262,2008
97,2MASS J09490860-1545485 [de],59,49,0.96,47 Ursae Majoris b,45,2.53 Jupiters,5.03352,1996
98,2MASS J10073369-4555147,46,44,0.94,47 Ursae Majoris c,45,0.54 Jupiters,5.03352,2001
99,2MASSI J1010148-040649 [de],55,51,0.98,47 Ursae Majoris d,45,1.64 Jupiters,5.03352,2009
100,2MASSI J1017075+130839 [de],108,,,4 Ursae Majoris b,240,7.1 Jupiters,4.5801,2006
101,SDSS J102109.69-030420.1,95,,,51 Eridani b,97,2 Jupiters,5.21149,2015
102,2MASS J10224821+5825453 [de],60,27,1.41,51 Pegasi b,50,0.46 Jupiters,5.45309,1995
103,2MASSW J1036530-344138 [de],53,49,0.97,55 Cancri b,41,0.8306 Jupiters,5.95084,1996
104,2MASS J1047538+212423 [de],34.4,42,0.94,55 Cancri c,41,0.1714 Jupiters,5.95084,2004
105,DEN 1048-3956,13.15,77,1.07,55 Cancri d,41,3.878 Jupiters,5.95084,2002
106,Luhman 16B,6.516,43,1.02,55 Cancri e,41,7.99 Earths,5.95084,2004
107,Luhman 16A,6.516,40,1.01,55 Cancri f,41,0.141 Jupiters,5.95084,2007
108,DENIS-P J1058.7−1548,49,64,1.00,61 Virginis b,28,5.1 Earths,4.6955,2009
109,TWA 28,180,36,2.39,61 Virginis c,28,18.2 Earths,4.6955,2009
110,Cha 110913-773444,163,8,1.8,61 Virginis d,28,22.9 Earths,4.6955,2009
111,OTS 44,554,15,,6 Lyncis b,178,2.01 Jupiters,5.87307,2008
112,SDSS J111010.01+011613.1,63,9,1.24,70 Virginis b,58,7.49 Jupiters,4.96808,1996
113,2MASS J11145133−2618235,18.2,33,0.96,75 Ceti b,271,3 Jupiters,5.3532,2012
114,TWA 26,137,30,2.20,7 Canis Majoris b,65,1.85 Jupiters,3.95,2011
115,2MASSW J1146345+223053,89,,,7 Canis Majoris c,65,0.87 Jupiters,3.95,2019
116,2MASS J11544223-3400390 [de],129,37,1.50,81 Ceti b,330,5.3 Jupiters,5.64307,2008
117,2MASSW J1155395-372735 [de],31,64,1.00,8 Ursae Minoris b,530,1.31 Jupiters,6.83295,2015
118,TWA 27A,,,,91 Aquarii b,144,3.2 Jupiters,4.23946,2013
119,TWA 27B,,,,AB Aurigae b,529,9 Jupiters,7.076,2022
120,2MASS J12074836-3900043,217,17,1.71,AB Pictoris b,163,13.5 Jupiters,9.13,2005
121,2MASSI J1217110-031113 [de],36,42,0.94,Alpha Arietis b,66,1.8 Jupiters,2.00538,2010
122,2MASS J12255432-2739466,43,,,Alpha Tauri b,67,6.47 Jupiters,0.872,2015
123,DENIS-P J1228.2-1547,66,,,AU Microscopii b,32,20.12 Earths,8.81,2020
124,2M 1237+6526,45.6,41,0.94,AU Microscopii c,32,9.6 Earths,8.81,2021
125,2MASSW J1239272+551537 [de],119,,,b Centauri AB b,320,10.9 Jupiters,4.01,2021
126,TWA 29,262,25,2.00,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
127,SDSSp J125453.90-012247.4 [de],38,47,0.98,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
128,Kelu-1A,61,63,0.98,BD-06 1339 b,66,8.5 Earths,9.7,2013
129,Kelu-1B,61,58,0.98,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
130,2MASS J13204427+0409045,101,67,1.01,BD-08 2823 b,135,12.7132 Earths,9.86,2009
131,SDSSp J132629.82-003831.5 [de],65,51,0.97,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
132,SDSSp J134646.45-003150.4 [de],48,44,0.94,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
133,2MASS J13595510-4034582,51,63,1.00,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
134,ULAS J141623.94+134836.3,29.7,32,0.96,BD-11 4672 c,89,15.37 Earths,10.03,2020
135,SDSS J141659.78+500626.4 [de],149,59,0.99,BD-13 2130 b,3018,9.78 Jupiters,10.038,2007
136,DENIS-P J142527.97-365023.4 [de],38,21,1.32,BD+14 4559 b,161,1.04 Jupiters,9.78,2009
137,LHS 2924,38.5,76,1.06,BD+15 2375 b,2505,1.061 Jupiters,10.41,2016
138,2MASS J14392837+1929150,47,72,1.03,BD+15 2940 b,1391,1.11 Jupiters,9.01,2013
139,LSPM J1440+1339,72,92,1.19,BD-17 63 b,112,5.1 Jupiters,9.62,2008
140,2MASS J14482563+1031590 [de],47,59,0.99,BD+20 2457 b,5023,55.59 Jupiters,9.743,2009
141,CFBDSIR 1458+10A,104,11.1,1.5,BD+20 2457 c,5023,12.47 Jupiters,9.743,2009
142,CFBDSIR 1458+10B,104,9,1.3,BD+20 274 b,4314,4.2 Jupiters,9.367,2012
143,TVLM 513-46546,35.1,75,1.05,BD+20 594 b,585,22.2481 Earths,10.849,2016
144,2MASS 1503+2525,20.7,44,0.94,BD+45 564 b,175,1.36 Jupiters,9.67,2021
145,CFBDS J150411+102717,71,44,0.94,BD+48 738 b,2843,0.91 Jupiters,9.139,2011
146,2MASSW J1506544+132106 [de],46,69,1.02,BD+48 740 b,2174,1.7 Jupiters,8.69,2018
147,2MASS 1507−1627,23.9,60,0.99,BD+49 828 b,1442,1.6 Jupiters,9.381,2015
148,TVLM 868-110639,53,79,1.08,BD+55 362 b,171,0.72 Jupiters,9.38,2021
149,SDSS J151114.66+060742.9 [de],89,,,BD+60 1417 b,147,15 Jupiters,9.374,2021
150,2MASSW J1515008+484742 [de],34,57,0.99,b Centauri AB b,320,10.9 Jupiters,4.01,2021
151,2MASSI J1526140+204341 [de],67,54,0.98,BD-00 4475 b,139,25.05 Jupiters,9.01,2021
152,DENIS-P J153941.96-052042.4 [de],51,63,1.00,BD+03 2562 b,3492,6.4 Jupiters,9.577,2017
153,2MASS J15462718-3325111 [de],37,44,0.94,BD-06 1339 b,66,8.5 Earths,9.7,2013
154,2MASSW J1552591+294849 [de],68,30,1.43,BD-06 1339 c,66,0.17 Jupiters,9.7,2013
155,2MASSW J1555157-095605 [de],44,71,1.03,BD-08 2823 b,135,12.7132 Earths,9.86,2009
156,2MASS J16150413+1340079 [de],48,42,0.94,BD-08 2823 c,135,0.33 Jupiters,9.86,2009
157,SDSSp J162414.37+002915.6 [de],36,43,0.94,BD-10 3166 b,275,0.59 Jupiters,10.013,2000
158,2MASS J16262034+3925190 [de],110,71,1.03,BD-11 4672 b,89,0.65 Jupiters,10.03,2014
159,2MASSW J1632291+190441 [de],50,49,0.97,BD-11 4672 c,89,15.37 Earths,10.03,2020
